name,caption
10012.png,Покемон электрического типа и травы
10013.png,Покемон огня
10014.png,Покемон в воду
10015.png,Покемон типа льда
10016.png,Покемон в воду
10017.png,Покемон пожарного и психического типа
10018.png,Нормальный тип и боевой тип покемонов
10019.png,Покемон летающего типа
10020.png,Покемон электрического типа и летающий
10021.png,Покемон наземного типа и летающий
10022.png,Покемон типа дракона и ледяной
10023.png,Покемон типа дракона и ледяной
10024.png,Покемон типа воды и боевой тип
10025.png,Покемон психического типа
10026.png,Покемон стального типа и призрак
10027.png,Покемон призрака и типа травы
10028.png,Покемон призрака и типа травы
10029.png,Покемон призрака и типа травы
10030.png,Покемон призрака и типа травы
10031.png,Покемон призрака и типа травы
10032.png,Покемон призрака и типа травы
10033.png,Покемон типа травы и яда
10034.png,Покемон огненного типа и дракона
10035.png,Покемон пожарного и летающего типа
10036.png,Покемон в воду
10037.png,Покемон психического типа
10038.png,Покемон типа призрака и яда
10039.png,Покемон нормального типа
10040.png,Тип ошибки и Покемон
10041.png,Покемон в водный и темный тип
10042.png,Покемон рок-типа и летающий
10043.png,Психический тип и боевой тип покемонов
10044.png,Покемон психического типа
10045.png,Покемон электрического типа и дракона
10046.png,Покемон типа ошибок и сталь типа
10047.png,Покемон типа ошибок и боевой тип
10048.png,Темный тип и покемон
10049.png,Покемон рок-типа и темного типа
10050.png,Покемон пожарного и боевого типа
10051.png,Психический тип и фея покемонов
10052.png,Покемон из стального типа и фея
10053.png,Покемон из стали типа
10054.png,Боевой тип и психический тип покемонов
10055.png,Покемон электрического типа
10056.png,Покемон призрака типа
10057.png,Покемон темного типа
10058.png,Покемон дракона и типа земли
10059.png,Покемон боевого типа и стали
10060.png,Покемон типа трава и ледяной
